Name,Price,Release Date,SIM Support,Phone Dimensions,Phone Weight,Operating System,Screen Size,Screen Resolution,Screen Type,Screen Protection,Internal Memory,RAM,Card Slot,Processor,GPU,Type,Front Camera,Front Flash Light,Front Video Recording,Back Flash Light,Back Camera,Back Video Recording,Bluetooth,3G,4G/LTE,5G,Radio,WiFi,NFC
TecnoCamon16,"Rs.30,599",2020 October 10,Dual SIM (Nano-SIM dual stand-by),170.61 x 77.18 x 9.1 mm,207 g,Android 10 HIOS 6.0,6.9 inches,1080 x 2460 pixels,IPS LCD capacitive touchscreen 16M colors,No,8 GB,128 GB,Yes,Mediatek Helio G90T,Mali-G52 2EEMC2,Li-Po 4500 mAh non-removable,16 MP,Yes,1080p@30fps,Yes,48 MP + 2 MP + 2 MP + 2 MP,1440p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
AppleiPhone12,"Rs.157,499",2020 October 13,Single SIM (Nano-SIM and/or eSIM),146.7 x 71.5 x 7.4 mm,164 g,iOS 14,6.1 inches,1170 x 2532 pixels,Super Retina XDR OLED HDR10 625 nits (typ) 1200 nits (peak),Scratch-resistant glass oleophobic coating,64/128/256 GB,4 GB,No,Apple A14 Bionic,Apple GPU (4-core graphics),Li-Po 2815 mAh non-removable,12 MP f/2.2,No,4K@24/30/60fps 1080p@30/60/120fps gyro-EIS,Yes,12 MP + 12 MP,4K@24/30/60fps 1080p@30/60/120/240fps HDR Dolby Vision HDR (up to 30fps) stereo sound rec.,Yes,Yes,Yes,No,Yes,Yes,
OnePlusNordN100,"Rs.34,300",2020 October 26,Dual SIM (Nano-SIM dual stand-by),164.9 x 75.1 x 8.5 mm ,188 g,Android 10 OxygenOS 10.5,6.52 inches,720 x 1600 pixels,IPS LCD,Corning Gorilla Glass 3,64GB,4GB ,Yes,Qualcomm SM4250 Snapdragon 460,Adreno 610,Li-Po 5000 mAh non-removable,8 MP f/2.0,No,1080p@30fps,Yes,13 MP + 2 MP + 2 MP,1080p@30fps gyro-EIS,Yes,Yes,Yes,No,No,Yes,No
AppleiPhone12ProMax,"Rs.209,999",2020 October 13,Single SIM (Nano-SIM and/or eSIM) ,160.8 x 78.1 x 7.4 mm,228 g,iOS 14,6.7 inches,1284 x 2778 pixels,Super Retina XDR OLED HDR10 800 nits (typ) 1200 nits (peak),Scratch-resistant glass oleophobic coating,128/256/512 GB,6 GB,No,Apple A14 Bionic,Apple GPU (4-core graphics),(Li-Po Non removable) 3687 mAh  ,12 MP f/2.2,No,4K@24/30/60fps 1080p@30/60/120fps gyro-EIS,Yes,12 MP + 12 MP + 12 MP,4K@24/30/60fps 1080p@30/60/120/240fps 10‑bit HDR Dolby Vision HDR (up to 60fps) stereo sound rec.,Yes,Yes,Yes,Yes,No,Yes,Yes
VivoV20SE,"Rs.38,999",2020 September 24,Dual SIM (Nano-SIM dual stand-by),161 x 74.1 x 7.8 mm ,171 g,Android 10 Funtouch 11,6.44 inches,1080 x 2400 pixels,AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass  ,128 GB,8 GB ,Yes,Qualcomm® Snapdragon™ 665,Adreno 610,Li-Po 4100 mAh non-removable,32 MP,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP ,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,Yes
XiaomiMi10T,"Rs.60,499",2020 September 30,Dual SIM (Nano-SIM dual stand-by),165.1 x 76.4 x 9.3 mm,216 g,Android 10 MIUI 12,6.67 inches,1080 x 2400 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 5,128 GB,6/8 GB ,No,Qualcomm SM8250 Snapdragon 865 (7 nm+),Adreno 650,Li-Po 5000 mAh non-removable,20 MP f/2.2,No,1080p@30fps 720p@120fps,Yes,64 MP + 13 MP + 5 MP ,8K@30fps 4K@30/60fps 1080p@30/60/120/240/960fps; gyro-EIS,Yes,Yes,Yes,No,No,Yes,Yes
Nokia3.4,"Rs.19,399",2020 September 22,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by),161 x 76 x 8.7 mm,180 g,Android 10 planned upgrade to Android 11,6.39 inches,720 x 1560 pixels,IPS LCD capacitive touchscreen 16M colors,No,32/64 GB,3/4 GB,Yes,Octa-core (4x1.8 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Adreno 610,Li-Po 4000 mAh non-removable,8 MP,No,1080p@30fps,Yes,13 MP + 5 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
VivoV20,"Rs.54,299",2020 September 30,Dual SIM (Nano-SIM dual stand-by),161.3 x 74.2 x 7.4 mm,171 g,Android 11 Funtouch 11,6.44 inches,1080 x 2400 pixels,AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,No,128 GB,8 GB,Yes,Qualcomm SM7125 Snapdragon 720G,Adreno 618,Li-Po 4000 mAh non-removable,44 MP f/2.0,No,4K@30fps 1080p@30fps gyro-EIS,Yes,64 MP + 8 MP + 2 MP,4K@30fps 1080p@30/60fps gyro-EIS,Yes,Yes,Yes,FM radio,Yes,Yes,
Nokia2.4,"Rs.16,299",2020 September 22,Dual SIM (Nano-SIM dual stand-by),165.9 x 76.3 x 8.7 mm,195 g,Android 10 planned upgrade to Android 11,6.5 inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors,No,32/64 GB,2/3 GB,Yes,Mediatek MT6762 Helio P22,PowerVR GE8320,Li-Po 4500 mAh non-removable,5 MP f/2.4,No,No,Yes,13 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
SamsungGalaxyS20FE,"Rs.112,000",2020 September,Hybrid Dual SIM Dual Standby (Nano-SIM)  ,159.8 x 74.5 x 8.4 mm,190 g,Android 10,6.5 inches,1440 x 2400 pixels,Super AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 3,128 GB,8 GB,Yes,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G77 MP11,Li-Po 4500 mAh non-removable,32 MP f/2.0,Yes,4K@30/60fps 1080p@30fps,Yes,12 MP + 8 MP + 12 MP,4K@60fps 1080p@60/240fps ,Yes,Yes,Yes,No,Yes,Yes,
